timesteps,ep_rew_mean,ep_len_mean
2048,-250.0,50.0
4096,-236.34146341463415,49.707317073170735
6144,-233.8,49.76
8192,-233.8,49.76
10240,-223.9,49.78
12288,-211.25,49.25
14336,-205.75,49.15
16384,-206.05,49.21
18432,-217.8,49.56
20480,-224.1,49.82
22528,-217.9,49.58
24576,-194.7,48.94
26624,-183.2,48.64
28672,-200.9,49.18
30720,-190.65,49.13
32768,-157.25,48.45
34816,-158.3,48.66
36864,-163.4,48.68
38912,-189.0,48.8
40960,-153.3,48.66
43008,-118.7,47.74
45056,-103.4,46.68
47104,-136.85,47.37
49152,-156.55,48.31
51200,-167.2,48.44
53248,-133.85,47.77
55296,-139.25,47.85
57344,-159.3,48.86
59392,-129.65,47.93
61440,-100.75,47.15
63488,-115.6,47.12
65536,-126.35,47.27
67584,-125.15,47.03
69632,-108.1,46.62
71680,-137.05,47.41
73728,-116.95,47.39
75776,-120.0,48.0
77824,-118.75,47.75
79872,-138.8,47.76
81920,-120.5,47.1
83968,-119.8,46.96
86016,-116.95,47.39
88064,-161.95,48.39
90112,-188.9,48.78
92160,-176.8,48.36
94208,-154.3,47.86
96256,-132.2,47.44
98304,-43.7,45.74
100352,-27.1,45.42
102400,-50.2,46.04
104448,-23.65,45.73
106496,-5.7,45.14
108544,-8.9,44.78
110592,-6.75,44.35
112640,49.75,43.05
114688,100.0,42.0
116736,59.65,43.07
118784,43.8,43.24
120832,128.3,40.34
122880,204.45,38.11
124928,189.35,39.13
126976,146.55,40.69
129024,119.85,41.03
131072,141.75,39.65
133120,196.85,37.63
135168,192.55,37.49
137216,222.6,35.48
139264,225.35,35.93
141312,234.0,35.2
143360,245.9,34.82
145408,282.85,33.43
147456,265.3,33.94
149504,284.05,33.19
151552,279.85,33.03
153600,295.3,31.94
155648,330.35,29.93
157696,317.05,29.59
159744,308.75,30.25
161792,320.6,30.88
163840,322.25,28.55
165888,321.5,29.7
167936,334.8,29.04
169984,346.45,28.71
172032,367.2,25.56
174080,376.05,24.79
176128,368.7,25.26
178176,367.45,25.51
180224,366.85,25.63
182272,373.65,24.27
184320,382.3,23.54
186368,379.55,24.09
188416,378.75,23.25
190464,383.25,23.35
192512,394.95,21.01
194560,387.95,22.41
196608,393.3,21.34
198656,393.65,21.27
200704,396.15,20.77
